Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
1 /wcal/week.php,150,268818,272398,279470,280223,282402,242661,283063,0.000%,.52827,4.56,0.00
2 /wcal/view_entry.php,150,415,439,712,754,859,6,906,0.000%,3.59281,9.48,0.00
3 /wcal/search_handler.php,150,2733,2893,3515,3599,3811,10,3874,0.000%,3.39635,15.31,0.00
4 /wcal/index.php,150,288716,301818,306649,308775,310966,11,311455,0.000%,.43987,11.65,0.00
6 /wcal/js_cacher.php,150,134,39,370,451,899,7,1023,0.000%,.44206,1.03,0.00
TOTAL,750,112163,2832,301818,304206,309189,6,311455,0.000%,1.28003,11.42,0.00
