Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
1 /wcal/week.php,152,246175,262029,264620,265000,265908,16031,268941,0.000%,.55487,4.82,0.00
2 /wcal/view_entry.php,2,281,19,544,544,544,19,544,0.000%,.11170,0.29,0.00
3 /wcal/search_handler.php,2,1790,1080,2500,2500,2500,1080,2500,0.000%,.10844,0.49,0.00
4 /wcal/index.php,2,6,6,7,7,7,6,7,0.000%,.12539,0.09,0.00
6 /wcal/js_cacher.php,2,8,8,8,8,8,8,8,0.000%,.12537,0.29,0.00
TOTAL,160,233893,261817,264602,265000,265908,6,268941,0.000%,.58407,4.89,0.00
