Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
1 /wcal/week.php,150,268818,242661,283063,11008.64,0.000%,.52827,4.56,0.00,8835.9
2 /wcal/view_entry.php,150,415,6,906,235.62,0.000%,3.59281,9.48,0.00,2703.3
3 /wcal/search_handler.php,150,2733,10,3874,795.09,0.000%,3.39635,15.31,0.00,4615.6
4 /wcal/index.php,150,288716,11,311455,54261.74,0.000%,.43987,11.65,0.00,27127.2
6 /wcal/js_cacher.php,150,134,7,1023,181.77,0.000%,.44206,1.03,0.00,2385.5
Total,750,112163,6,311455,138413.30,0.000%,1.28003,11.42,0.00,9133.5
