Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
1 /wcal/week.php,150,258423,268041,272988,274451,276204,3707,277678,0.000%,.53062,4.61,0.00
2 /wcal/view_entry.php,150,433,455,781,830,1001,18,1016,0.000%,.55650,1.47,0.00
3 /wcal/search_handler.php,150,2821,2965,3569,3677,4256,17,4404,0.000%,.55410,2.50,0.00
4 /wcal/index.php,150,272855,290418,296056,296891,299448,8,300469,0.000%,.26857,6.98,0.00
6 /wcal/js_cacher.php,150,142,32,337,428,945,7,1687,0.000%,.26838,0.63,0.00
TOTAL,750,106935,2933,290418,292604,296948,7,300469,0.000%,1.30350,11.51,0.00
