Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
1 /wcal/week.php,150,3292,3023,3827,161.40,0.000%,.13706,1.20,0.00,8945.9
2 /wcal/view_entry.php,150,19,16,28,2.16,0.000%,.13751,0.36,0.00,2702.9
3 /wcal/search_handler.php,150,49,42,79,8.79,0.000%,.13750,0.62,0.00,4639.8
4 /wcal/index.php,150,3948,3657,4345,165.50,0.000%,.13704,3.74,0.00,27969.8
6 /wcal/js_cacher.php,150,9,8,13,1.43,0.000%,.13753,0.32,0.00,2369.9
Total,750,1463,8,4345,1776.21,0.000%,.68293,6.22,0.00,9325.7
