Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
1 /wcal/week.php,152,246175,16031,268941,48740.23,0.000%,.55487,4.82,0.00,8893.0
2 /wcal/view_entry.php,2,281,19,544,262.50,0.000%,.11170,0.29,0.00,2703.0
3 /wcal/search_handler.php,2,1790,1080,2500,710.00,0.000%,.10844,0.49,0.00,4641.0
4 /wcal/index.php,2,6,6,7,0.50,0.000%,.12539,0.09,0.00,735.0
6 /wcal/js_cacher.php,2,8,8,8,0.00,0.000%,.12537,0.29,0.00,2370.0
Total,160,233893,6,268941,71577.23,0.000%,.58407,4.89,0.00,8578.9
