Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
1 /wcal/week.php,150,258423,3707,277678,32616.46,0.000%,.53062,4.61,0.00,8892.3
2 /wcal/view_entry.php,150,433,18,1016,252.40,0.000%,.55650,1.47,0.00,2703.0
3 /wcal/search_handler.php,150,2821,17,4404,718.22,0.000%,.55410,2.50,0.00,4614.4
4 /wcal/index.php,150,272855,8,300469,65179.87,0.000%,.26857,6.98,0.00,26629.2
6 /wcal/js_cacher.php,150,142,7,1687,221.54,0.000%,.26838,0.63,0.00,2385.5
Total,750,106935,7,300469,133699.79,0.000%,1.30350,11.51,0.00,9044.9
