Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
1 /wcal/week.php,150,3292,3300,3499,3549,3703,3023,3827,0.000%,.13706,1.20,0.00
2 /wcal/view_entry.php,150,19,18,23,23,26,16,28,0.000%,.13751,0.36,0.00
3 /wcal/search_handler.php,150,49,46,63,74,77,42,79,0.000%,.13750,0.62,0.00
4 /wcal/index.php,150,3948,3957,4166,4211,4270,3657,4345,0.000%,.13704,3.74,0.00
6 /wcal/js_cacher.php,150,9,9,12,13,13,8,13,0.000%,.13753,0.32,0.00
TOTAL,750,1463,46,3957,4070,4217,8,4345,0.000%,.68293,6.22,0.00
