Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
7 /wcal/login.php,130,2302,14,3584,845.23,0.000%,9.64750,16.20,0.00,1719.0
8 /wcal/css_cacher.php,130,474,10,1215,333.06,0.000%,8.99467,38.10,0.00,4338.0
10 /wcal/login.php,130,294932,185618,327821,36588.57,0.000%,.38741,11.02,0.00,29117.0
11 /wcal/month.php,130,293931,258800,323158,22178.67,0.000%,.27649,7.30,0.00,27054.0
12 /wcal/js_cacher.php,59,18,8,61,15.15,0.000%,.38108,0.88,0.00,2370.0
13 /wcal/css_cacher.php,59,23,8,135,24.92,0.000%,.38098,1.61,0.00,4338.0
14 /wcal/week.php,59,178132,117666,236204,31705.10,0.000%,.21650,2.11,0.00,9995.0
TOTAL,697,125431,8,327821,140422.68,0.000%,.95815,12.18,0.00,13020.3
