Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
7 /wcal/login.php,240,225750,7217,628609,628732,628793,20,628808,0.000%,.37628,0.63,0.00
8 /wcal/css_cacher.php,155,16771,491,1164,1269,627942,9,628768,0.000%,.24310,1.03,0.00
10 /wcal/login.php,151,341879,362325,374629,377709,381087,195442,728413,0.000%,.20455,5.78,0.00
11 /wcal/month.php,150,327080,319625,346017,346773,350500,303663,353205,0.000%,.28037,7.41,0.00
12 /wcal/js_cacher.php,24,30,22,43,47,205,9,205,0.000%,.25488,0.59,0.00
13 /wcal/css_cacher.php,24,23,15,40,96,108,8,108,0.000%,.25540,1.08,0.00
14 /wcal/week.php,24,169378,171226,192601,199727,216642,131942,216642,0.000%,.10612,1.04,0.00
TOTAL,768,210328,235399,627707,628509,628770,8,728413,0.000%,1.04031,13.11,0.00
