Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
7 /wcal/login.php,240,225750,20,628808,298037.41,0.000%,.37628,0.63,0.00,1719.0
8 /wcal/css_cacher.php,155,16771,9,628768,99522.67,0.000%,.24310,1.03,0.00,4338.0
10 /wcal/login.php,151,341879,195442,728413,53740.29,0.000%,.20455,5.78,0.00,28941.8
11 /wcal/month.php,150,327080,303663,353205,14848.14,0.000%,.28037,7.41,0.00,27054.0
12 /wcal/js_cacher.php,24,30,9,205,38.09,0.000%,.25488,0.59,0.00,2370.0
13 /wcal/css_cacher.php,24,23,8,108,25.11,0.000%,.25540,1.08,0.00,4338.0
14 /wcal/week.php,24,169378,131942,216642,22989.66,0.000%,.10612,1.04,0.00,9995.0
Total,768,210328,8,728413,216567.78,0.000%,1.04031,13.11,0.00,12909.0
