Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
7 /wcal/login.php,148,21,17,32,39,72,12,161,0.000%,.11202,0.19,0.00
8 /wcal/css_cacher.php,148,12,10,18,25,35,8,35,0.000%,.11202,0.47,0.00
10 /wcal/login.php,148,30398,31423,42052,42760,43985,5546,44839,0.000%,.10942,3.11,0.00
11 /wcal/month.php,133,31079,33168,42755,43172,46408,10714,48029,0.000%,.09875,2.61,0.00
12 /wcal/js_cacher.php,122,13,9,25,31,44,7,48,0.000%,.10297,0.24,0.00
13 /wcal/css_cacher.php,122,19,11,33,48,69,7,341,0.000%,.10297,0.44,0.00
14 /wcal/week.php,122,28279,21340,39749,40108,41949,11628,42601,0.000%,.09966,0.97,0.00
15 /wcal/view_entry.php,120,39,26,83,114,141,13,239,0.000%,.09958,0.26,0.00
16 /wcal/edit_entry.php,120,23,18,33,50,91,13,129,0.000%,.09958,0.81,0.00
17 /wcal/js_cacher.php,120,12,10,20,28,43,8,49,0.000%,.09959,0.48,0.00
18 /wcal/js_cacher.php,120,12,9,24,28,43,7,61,0.000%,.09959,0.23,0.00
19 /wcal/edit_entry_handler.php,120,27360,22526,42443,43149,45503,19,46777,0.000%,.09626,2.33,0.00
20 /wcal/week.php,120,27504,20485,37882,38195,38407,42,38580,0.000%,.09459,0.92,0.00
21 /wcal/login.php,118,21,17,31,44,61,12,107,0.000%,.09490,0.13,0.00
TOTAL,1781,10493,23,39611,41678,43341,7,48029,0.000%,1.31668,12.55,0.00
