Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
7 /wcal/login.php,88,79,12,653,112.86,0.000%,.14684,0.26,0.00,1778.5
8 /wcal/css_cacher.php,88,38,8,245,44.72,0.000%,.14685,0.62,0.00,4338.0
10 /wcal/login.php,88,81298,24025,92355,9710.38,0.000%,.13518,3.82,0.00,28901.9
11 /wcal/month.php,80,84310,79448,90571,2813.49,0.000%,.14465,3.82,0.00,27052.4
12 /wcal/js_cacher.php,80,30,8,131,30.31,0.000%,.17000,0.39,0.00,2370.0
13 /wcal/css_cacher.php,80,32,8,134,30.41,0.000%,.16999,0.72,0.00,4338.0
14 /wcal/week.php,80,72121,42440,85733,8886.57,0.000%,.15589,1.41,0.00,9291.0
15 /wcal/view_entry.php,71,134,17,2116,265.40,0.000%,.18057,0.46,0.00,2624.1
16 /wcal/edit_entry.php,71,75,13,1333,159.29,0.000%,.18062,1.46,0.00,8262.2
17 /wcal/js_cacher.php,71,38,8,138,36.41,0.000%,.18062,0.88,0.00,4979.0
18 /wcal/js_cacher.php,71,51,7,810,102.79,0.000%,.18060,0.42,0.00,2370.0
19 /wcal/edit_entry_handler.php,71,29272,44,96704,36754.96,0.000%,.16253,1.68,0.00,10585.4
20 /wcal/week.php,59,61019,74,82041,27422.18,0.000%,.14156,1.23,0.00,8920.7
21 /wcal/login.php,48,53,12,236,48.98,0.000%,.13514,0.23,0.00,1731.3
Total,1046,24270,7,96704,36405.64,0.000%,1.60472,13.76,0.00,8777.7
