Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
7 /wcal/login.php,130,2302,2460,3109,3219,3541,14,3584,0.000%,9.64750,16.20,0.00
8 /wcal/css_cacher.php,130,474,471,936,1038,1162,10,1215,0.000%,8.99467,38.10,0.00
10 /wcal/login.php,130,294932,314777,325242,325802,327246,185618,327821,0.000%,.38741,11.02,0.00
11 /wcal/month.php,130,293931,289462,320669,321602,323023,258800,323158,0.000%,.27649,7.30,0.00
12 /wcal/js_cacher.php,59,18,12,45,55,58,8,61,0.000%,.38108,0.88,0.00
13 /wcal/css_cacher.php,59,23,12,53,82,90,8,135,0.000%,.38098,1.61,0.00
14 /wcal/week.php,59,178132,169125,220263,222766,231823,117666,236204,0.000%,.21650,2.11,0.00
TOTAL,697,125431,2881,320449,323031,325802,8,327821,0.000%,.95815,12.18,0.00
