Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
7 /wcal/login.php,69,21,17,28,50,56,12,161,0.000%,.11323,0.19,0.00
8 /wcal/css_cacher.php,69,12,10,18,24,29,8,35,0.000%,.11323,0.48,0.00
10 /wcal/login.php,69,19783,20573,21329,21866,21894,5546,23110,0.000%,.11119,3.16,0.00
11 /wcal/month.php,66,20728,20778,22309,23074,23537,10714,24680,0.000%,.10735,2.84,0.00
12 /wcal/js_cacher.php,62,12,9,24,25,40,8,44,0.000%,.10593,0.25,0.00
13 /wcal/css_cacher.php,62,19,11,28,42,52,8,341,0.000%,.10593,0.45,0.00
14 /wcal/week.php,62,18694,18634,20281,20848,21340,11628,22384,0.000%,.10387,1.01,0.00
15 /wcal/view_entry.php,60,27,22,43,48,71,18,83,0.000%,.11158,0.30,0.00
16 /wcal/edit_entry.php,60,19,16,29,32,39,13,63,0.000%,.11158,0.91,0.00
17 /wcal/js_cacher.php,60,11,9,16,19,22,8,43,0.000%,.11158,0.54,0.00
18 /wcal/js_cacher.php,60,10,9,15,24,27,7,31,0.000%,.11158,0.26,0.00
19 /wcal/edit_entry_handler.php,60,18997,21052,22805,23536,23882,53,29422,0.000%,.10752,2.63,0.00
20 /wcal/week.php,60,17870,18192,19369,19755,20234,42,20485,0.000%,.10743,1.04,0.00
21 /wcal/login.php,59,22,17,31,44,58,13,107,0.000%,.11100,0.15,0.00
TOTAL,878,6963,21,20881,21460,23074,7,29422,0.000%,1.41478,13.43,0.00
