Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
7 /wcal/login.php,88,79,39,155,269,628,12,653,0.000%,.14684,0.26,0.00
8 /wcal/css_cacher.php,88,38,22,93,146,189,8,245,0.000%,.14685,0.62,0.00
10 /wcal/login.php,88,81298,83261,89504,90595,91344,24025,92355,0.000%,.13518,3.82,0.00
11 /wcal/month.php,80,84310,83592,88176,88789,90457,79448,90571,0.000%,.14465,3.82,0.00
12 /wcal/js_cacher.php,80,30,15,75,85,118,8,131,0.000%,.17000,0.39,0.00
13 /wcal/css_cacher.php,80,32,19,72,94,113,8,134,0.000%,.16999,0.72,0.00
14 /wcal/week.php,80,72121,74097,80546,82016,85156,42440,85733,0.000%,.15589,1.41,0.00
15 /wcal/view_entry.php,71,134,57,238,253,790,17,2116,0.000%,.18057,0.46,0.00
16 /wcal/edit_entry.php,71,75,41,115,122,328,13,1333,0.000%,.18062,1.46,0.00
17 /wcal/js_cacher.php,71,38,22,95,117,129,8,138,0.000%,.18062,0.88,0.00
18 /wcal/js_cacher.php,71,51,17,98,117,304,7,810,0.000%,.18060,0.42,0.00
19 /wcal/edit_entry_handler.php,71,29272,4046,82613,83270,90047,44,96704,0.000%,.16253,1.68,0.00
20 /wcal/week.php,59,61019,73481,78250,80165,80349,74,82041,0.000%,.14156,1.23,0.00
21 /wcal/login.php,48,53,35,99,169,236,12,236,0.000%,.13514,0.23,0.00
TOTAL,1046,24270,73,82863,86784,90047,7,96704,0.000%,1.60472,13.76,0.00
