Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
7 /wcal/login.php,148,21,12,161,14.87,0.000%,.11202,0.19,0.00,1718.2
8 /wcal/css_cacher.php,148,12,8,35,5.56,0.000%,.11202,0.47,0.00,4338.0
10 /wcal/login.php,148,30398,5546,44839,10558.62,0.000%,.10942,3.11,0.00,29117.0
11 /wcal/month.php,133,31079,10714,48029,10499.72,0.000%,.09875,2.61,0.00,27054.0
12 /wcal/js_cacher.php,122,13,7,48,8.31,0.000%,.10297,0.24,0.00,2369.9
13 /wcal/css_cacher.php,122,19,7,341,31.90,0.000%,.10297,0.44,0.00,4337.9
14 /wcal/week.php,122,28279,11628,42601,9893.54,0.000%,.09966,0.97,0.00,9990.6
15 /wcal/view_entry.php,120,39,13,239,33.85,0.000%,.09958,0.26,0.00,2707.4
16 /wcal/edit_entry.php,120,23,13,129,15.77,0.000%,.09958,0.81,0.00,8369.9
17 /wcal/js_cacher.php,120,12,8,49,7.03,0.000%,.09959,0.48,0.00,4978.9
18 /wcal/js_cacher.php,120,12,7,61,8.32,0.000%,.09959,0.23,0.00,2369.9
19 /wcal/edit_entry_handler.php,120,27360,19,46777,14028.72,0.000%,.09626,2.33,0.00,24816.2
20 /wcal/week.php,120,27504,42,38580,9821.14,0.000%,.09459,0.92,0.00,9949.7
21 /wcal/login.php,118,21,12,107,12.73,0.000%,.09490,0.13,0.00,1399.0
Total,1781,10493,7,48029,15458.63,0.000%,1.31668,12.55,0.00,9763.7
