Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
7 /wcal/login.php,74,689,16,2241,616.36,0.000%,.12513,0.22,0.00,1803.9
8 /wcal/css_cacher.php,74,166,9,550,130.76,0.000%,.12514,0.53,0.00,4342.8
10 /wcal/login.php,74,259956,100802,274166,34244.82,0.000%,.10692,3.04,0.00,29117.0
11 /wcal/month.php,70,142050,67219,161222,24958.67,0.000%,.36858,9.74,0.00,27054.0
12 /wcal/js_cacher.php,70,142,8,378,113.49,0.000%,.57012,1.32,0.00,2370.0
13 /wcal/css_cacher.php,70,149,8,466,121.41,0.000%,.56986,2.41,0.00,4338.0
14 /wcal/week.php,70,128172,98662,141224,9790.16,0.000%,.26568,2.54,0.00,9775.6
15 /wcal/view_entry.php,70,126,18,483,118.49,0.000%,.52813,1.36,0.00,2634.8
16 /wcal/edit_entry.php,70,62,14,327,65.04,0.000%,.52932,4.33,0.00,8370.0
17 /wcal/js_cacher.php,70,31,8,367,46.64,0.000%,.52936,2.57,0.00,4979.0
18 /wcal/js_cacher.php,70,32,8,170,32.35,0.000%,.52935,1.23,0.00,2370.0
19 /wcal/edit_entry_handler.php,70,35311,35,152321,54192.88,0.000%,.28733,2.31,0.00,8224.9
20 /wcal/week.php,54,108471,45,132330,25778.79,0.000%,.23307,2.23,0.00,9798.7
21 /wcal/login.php,4,43,12,61,18.65,0.000%,.04578,0.14,0.00,3130.5
TOTAL,910,51190,8,274166,83071.73,0.000%,1.31468,11.37,0.00,8856.4
